Prompt,Hindi Translation,Code-Mixed (Hinglish),Intent,Context,Tags
How to deal with irritability during PMS?,पीएमएस के दौरान चिड़चिड़ापन से कैसे निपटें?,How to deal with irritability during PMS ka kya solution hai?,mental_wellness,general,general
Is it normal to cry easily before a period?,क्या किसी अवधि से पहले आसानी से रोना सामान्य है?,Is it normal to cry easily before a period ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress"
Can I exercise during my period?,क्या मैं अपनी अवधि के दौरान व्यायाम कर सकता हूं?,Can I exercise during my period ka kya solution hai?,exercise_guidance,self-care,"coping, remedy, self-help"
Is yoga good for period cramps?,क्या योग पीरियड ऐंठन के लिए अच्छा है?,Is yoga good for period cramps ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
Should I avoid running during menstruation?,क्या मुझे मासिक धर्म के दौरान दौड़ने से बचना चाहिए?,Should I avoid running during menstruation ka kya solution hai?,exercise_guidance,general,general
Does stretching reduce period pain?,क्या स्ट्रेचिंग पीरियड दर्द को कम करता है?,Does stretching reduce period pain ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
What exercises are best for PMS?,पीएमएस के लिए कौन से अभ्यास सबसे अच्छे हैं?,What exercises are best for PMS ka kya solution hai?,exercise_guidance,self-care,"coping, remedy, self-help"
Can swimming help with cramps?,क्या तैराकी ऐंठन के साथ मदद कर सकता है?,Can swimming help with cramps ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
Is walking safe during heavy flow?,क्या भारी प्रवाह के दौरान सुरक्षित चलना है?,Is walking safe during heavy flow ka kya solution hai?,mental_wellness,period health,"menstruation, pain, symptom"
Should I take rest or workout during periods?,क्या मुझे अवधि के दौरान आराम या कसरत करनी चाहिए?,Should I take rest or workout during periods ka kya solution hai?,exercise_guidance,general,general
Does physical activity affect cycle length?,क्या शारीरिक गतिविधि चक्र की लंबाई को प्रभावित करती है?,Does physical activity affect cycle length ka kya solution hai?,exercise_guidance,general,general
Can dancing help relieve PMS symptoms?,क्या नृत्य पीएमएस लक्षणों को राहत देने में मदद कर सकता है?,Can dancing help relieve PMS symptoms ka kya solution hai?,mental_wellness,general,general
Can I get pregnant on my period?,क्या मैं अपनी अवधि में गर्भवती हो सकती हूं?,Can I get pregnant on my period ka kya solution hai?,myth_busting,general,general
Do periods sync with the moon?,क्या अवधि चंद्रमा के साथ सिंक करती है?,Do periods sync with the moon ka kya solution hai?,myth_busting,general,general
Is period blood dirty?,क्या पीरियड ब्लड गंदा है?,Is period blood dirty ka kya solution hai?,myth_busting,general,general
Can tampons take away virginity?,क्या टैम्पोन वर्जिनिटी ले सकते हैं?,Can tampons take away virginity ka kya solution hai?,myth_busting,general,general
Should I not go to temples during periods?,क्या मुझे अवधि के दौरान मंदिरों में नहीं जाना चाहिए?,Should I not go to temples during periods ka kya solution hai?,mental_wellness,general,general
Does eating sour food stop periods?,क्या खट्टा खाना खाने से अवधि होती है?,Does eating sour food stop periods ka kya solution hai?,diet_advice,general,general
Are irregular periods always a sign of illness?,क्या अनियमित अवधि हमेशा बीमारी का संकेत देती है?,Are irregular periods always a sign of illness ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
Can bathing delay periods?,क्या स्नान में देरी की अवधि हो सकती है?,Can bathing delay periods ka kya solution hai?,mental_wellness,general,general
Is it bad to talk about periods openly?,क्या खुले तौर पर अवधि के बारे में बात करना बुरा है?,Is it bad to talk about periods openly ka kya solution hai?,mental_wellness,general,general
Does using a pad overnight cause infections?,क्या रात भर पैड का उपयोग करने से संक्रमण होता है?,Does using a pad overnight cause infections ka kya solution hai?,mental_wellness,general,general
My period cramps are really painful this month; what can I do to feel better?,मेरी पीरियड ऐंठन इस महीने वास्तव में दर्दनाक है; मैं बेहतर महसूस करने के लिए क्या कर सकता हूं?,My period cramps are really painful this month; what can I do to feel better ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
I'm getting intense lower back pain during my period; is that normal and how can I relieve it?,मुझे अपनी अवधि के दौरान तीव्र कम पीठ दर्द हो रहा है; क्या यह सामान्य है और मैं इसे कैसे राहत दे सकता हूं?,I'm getting intense lower back pain during my period; is that normal and how can I relieve it ka kya solution hai?,symptom_query,general,general
"I have very heavy bleeding every month; is this normal, and what should I do about it?","मुझे हर महीने बहुत भारी रक्तस्राव होता है; क्या यह सामान्य है, और मुझे इसके बारे में क्या करना चाहिए?","I have very heavy bleeding every month; is this normal, and what should I do about it ka kya solution hai?",symptom_query,general,general
I feel extremely tired and low on energy during my period; how can I boost my energy levels?,मैं अपनी अवधि के दौरान ऊर्जा पर बेहद थका हुआ और कम महसूस करता हूं; मैं अपनी ऊर्जा के स्तर को कैसे बढ़ा सकता हूं?,I feel extremely tired and low on energy during my period; how can I boost my energy levels ka kya solution hai?,mental_wellness,general,general
I'm experiencing intense bloating and fatigue before my period; why is this happening and what can I do?,मैं अपनी अवधि से पहले तीव्र सूजन और थकान का अनुभव कर रहा हूं; ऐसा क्यों हो रहा है और मैं क्या कर सकता हूं?,I'm experiencing intense bloating and fatigue before my period; why is this happening and what can I do ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
I'm seeing a lot of dark blood clots in my menstrual flow; should I worry and what does it mean?,मैं अपने मासिक धर्म के प्रवाह में बहुत सारे गहरे रक्त के थक्के देख रहा हूं; क्या मुझे चिंता करनी चाहिए और इसका क्या मतलब है?,I'm seeing a lot of dark blood clots in my menstrual flow; should I worry and what does it mean ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
I feel nauseous and have headaches on the first day of my period; is that normal and how can I manage it?,मैं मिचली महसूस करता हूं और मेरी अवधि के पहले दिन सिरदर्द होता है; क्या यह सामान्य है और मैं इसे कैसे प्रबंधित कर सकता हूं?,I feel nauseous and have headaches on the first day of my period; is that normal and how can I manage it ka kya solution hai?,symptom_query,general,general
My breasts are really tender and swollen before my period; how can I relieve this discomfort?,मेरे स्तन वास्तव में मेरी अवधि से पहले कोमल और सूज गए हैं; मैं इस असुविधा को कैसे राहत दे सकता हूं?,My breasts are really tender and swollen before my period; how can I relieve this discomfort ka kya solution hai?,symptom_query,general,general
What foods or drinks can help reduce my menstrual cramps and bloating?,क्या खाद्य पदार्थ या पेय मेरे मासिक धर्म की ऐंठन और सूजन को कम करने में मदद कर सकते हैं?,What foods or drinks can help reduce my menstrual cramps and bloating ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
"I often crave sweets and carbs before my period; is that normal, and how can I manage those cravings in a healthy way?","मैं अक्सर अपनी अवधि से पहले मिठाई और कार्ब्स को तरसता हूं; क्या यह सामान्य है, और मैं उन cravings को स्वस्थ तरीके से कैसे प्रबंधित कर सकता हूं?","I often crave sweets and carbs before my period; is that normal, and how can I manage those cravings in a healthy way ka kya solution hai?",diet_advice,general,general
"What vitamins or nutrients can help with PMS symptoms, and which foods are rich in them?","पीएमएस के लक्षणों के साथ कौन से विटामिन या पोषक तत्व मदद कर सकते हैं, और कौन से खाद्य पदार्थ उनमें समृद्ध हैं?","What vitamins or nutrients can help with PMS symptoms, and which foods are rich in them ka kya solution hai?",diet_advice,general,general
I'm feeling really low on energy during my period; how should I adjust my diet to keep my energy up?,मैं अपनी अवधि के दौरान ऊर्जा पर वास्तव में कम महसूस कर रहा हूं; अपनी ऊर्जा को बनाए रखने के लिए मुझे अपने आहार को कैसे समायोजित करना चाहिए?,I'm feeling really low on energy during my period; how should I adjust my diet to keep my energy up ka kya solution hai?,mental_wellness,self-care,"coping, remedy, self-help"
"Which foods or drinks might make my period symptoms worse, and should I avoid them?","कौन से खाद्य पदार्थ या पेय मेरे पीरियड के लक्षणों को बदतर बना सकते हैं, और क्या मुझे उनसे बचना चाहिए?","Which foods or drinks might make my period symptoms worse, and should I avoid them ka kya solution hai?",diet_advice,general,general
I'm looking for herbal teas or natural remedies that can help me feel better during my period; any suggestions?,मैं हर्बल चाय या प्राकृतिक उपचार की तलाश कर रहा हूं जो मुझे अपनी अवधि के दौरान बेहतर महसूस करने में मदद कर सकता है; कोई सुझाव?,I'm looking for herbal teas or natural remedies that can help me feel better during my period; any suggestions ka kya solution hai?,mental_wellness,general,general
I've heard magnesium can help reduce cramps — what foods are high in magnesium?,मैंने सुना है कि मैग्नीशियम ऐंठन को कम करने में मदद कर सकता है - मैग्नीशियम में कौन से खाद्य पदार्थ अधिक हैं?,I've heard magnesium can help reduce cramps — what foods are high in magnesium ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
I need some nutritious meal or snack ideas for when I'm on my period and feeling weak.,मुझे कुछ पौष्टिक भोजन या स्नैक विचारों की आवश्यकता है जब मैं अपनी अवधि पर हूं और कमजोर महसूस कर रहा हूं।,I need some nutritious meal or snack ideas for when I'm on my period and feeling weak. ke baare mein kya jaan sakte hain?,diet_advice,general,general
I often feel very moody or emotional right before and during my period; why does this happen?,मैं अक्सर अपनी अवधि से पहले और उसके दौरान बहुत मूडी या भावनात्मक महसूस करता हूं; ऐसा क्यूँ होता है?,I often feel very moody or emotional right before and during my period; why does this happen ka kya solution hai?,mental_wellness,general,general
What can I do to manage stress or anxiety when I'm on my period?,जब मैं अपनी अवधि में होता हूं तो मैं तनाव या चिंता का प्रबंधन करने के लिए क्या कर सकता हूं?,What can I do to manage stress or anxiety when I'm on my period ka kya solution hai?,mental_wellness,mental wellness,"emotion, mental health, stress"
I could really use some tips for coping with mood swings during my period.,मैं वास्तव में अपनी अवधि के दौरान मिजाज के साथ मुकाबला करने के लिए कुछ युक्तियों का उपयोग कर सकता था।,I could really use some tips for coping with mood swings during my period. ke baare mein kya jaan sakte hain?,mental_wellness,mental wellness,"emotion, mental health, stress"
"How do hormones affect my mood during PMS, and are there ways to feel more balanced?","पीएमएस के दौरान हार्मोन मेरे मूड को कैसे प्रभावित करते हैं, और क्या अधिक संतुलित महसूस करने के तरीके हैं?","How do hormones affect my mood during PMS, and are there ways to feel more balanced ka kya solution hai?",mental_wellness,general,general
Could gentle exercise or relaxation techniques help me feel better mentally during my period?,क्या कोमल व्यायाम या विश्राम तकनीक मुझे अपनी अवधि के दौरान मानसिक रूप से बेहतर महसूस करने में मदद कर सकती है?,Could gentle exercise or relaxation techniques help me feel better mentally during my period ka kya solution hai?,mental_wellness,self-care,"coping, remedy, self-help"
How can I build a positive self-care routine to improve my mood throughout my cycle?,मैं अपने पूरे चक्र में अपने मूड को बेहतर बनाने के लिए एक सकारात्मक आत्म-देखभाल दिनचर्या का निर्माण कैसे कर सकता हूं?,How can I build a positive self-care routine to improve my mood throughout my cycle ka kya solution hai?,mental_wellness,general,general
What should I do if I feel very anxious or depressed every month before my period?,अगर मैं अपनी अवधि से पहले हर महीने बहुत चिंतित या उदास महसूस करता हूं तो मुझे क्या करना चाहिए?,What should I do if I feel very anxious or depressed every month before my period ka kya solution hai?,mental_wellness,general,general
"As a teenager who has just started menstruating, I feel very emotional and anxious; how can I cope with these feelings?","एक किशोरी के रूप में जिसने अभी -अभी मासिक धर्म शुरू किया है, मैं बहुत भावुक और चिंतित महसूस करता हूं; मैं इन भावनाओं का सामना कैसे कर सकता हूं?","As a teenager who has just started menstruating, I feel very emotional and anxious; how can I cope with these feelings ka kya solution hai?",mental_wellness,self-care,"coping, remedy, self-help"
"I'm on my period; is it okay to exercise, and what types of exercise could be beneficial?","मैं अपने अवधि पर हूं; क्या व्यायाम करना ठीक है, और किस प्रकार का व्यायाम फायदेमंद हो सकता है?","I'm on my period; is it okay to exercise, and what types of exercise could be beneficial ka kya solution hai?",exercise_guidance,self-care,"coping, remedy, self-help"
Which workouts or stretches can help relieve cramps and period discomfort?,कौन से वर्कआउट या स्ट्रेच ऐंठन और पीरियड असुविधा को दूर करने में मदद कर सकते हैं?,Which workouts or stretches can help relieve cramps and period discomfort ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
Are there any exercises or activities I should avoid during heavy flow days?,क्या कोई अभ्यास या गतिविधियाँ हैं जिनसे मुझे भारी प्रवाह के दिनों में बचना चाहिए?,Are there any exercises or activities I should avoid during heavy flow days ka kya solution hai?,mental_wellness,period health,"menstruation, pain, symptom"
How can I modify my exercise routine when I'm feeling fatigued during my period?,जब मैं अपनी अवधि के दौरान थका हुआ महसूस कर रहा हूं तो मैं अपनी व्यायाम दिनचर्या को कैसे संशोधित कर सकता हूं?,How can I modify my exercise routine when I'm feeling fatigued during my period ka kya solution hai?,symptom_query,self-care,"coping, remedy, self-help"
Can staying active with light workouts or yoga improve my mood and relieve cramps on my period?,क्या हल्के वर्कआउट या योग के साथ सक्रिय रहना मेरे मूड में सुधार कर सकता है और मेरी अवधि में ऐंठन को दूर कर सकता है?,Can staying active with light workouts or yoga improve my mood and relieve cramps on my period ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom"
What precautions should I take if I want to run or play sports while menstruating?,यदि मैं मासिक धर्म के दौरान खेल चलाना या खेल खेलना चाहता हूं तो मुझे क्या सावधानी बरतनी चाहिए?,What precautions should I take if I want to run or play sports while menstruating ka kya solution hai?,exercise_guidance,general,general
"How might exercise affect my menstrual cycle, and should I change my workout intensity on certain days?","व्यायाम मेरे मासिक धर्म चक्र को कैसे प्रभावित कर सकता है, और क्या मुझे कुछ दिनों में अपनी कसरत की तीव्रता बदलनी चाहिए?","How might exercise affect my menstrual cycle, and should I change my workout intensity on certain days ka kya solution hai?",exercise_guidance,self-care,"coping, remedy, self-help"
Is swimming or gentle cardio a good option during my period?,क्या तैराकी या कोमल कार्डियो मेरी अवधि के दौरान एक अच्छा विकल्प है?,Is swimming or gentle cardio a good option during my period ka kya solution hai?,exercise_guidance,general,general
I often hear that you can't get pregnant if you have sex during your period; is that actually true?,मैं अक्सर सुनता हूं कि यदि आप अपनी अवधि के दौरान सेक्स करते हैं तो आप गर्भवती नहीं हो सकते; क्या यह वास्तव में सच है?,I often hear that you can't get pregnant if you have sex during your period; is that actually true ka kya solution hai?,myth_busting,general,general
Some people say you shouldn't exercise or swim when you're menstruating; is that necessary or just a myth?,कुछ लोग कहते हैं कि जब आप मासिक धर्म कर रहे हों तो आपको व्यायाम या तैरना नहीं चाहिए; क्या यह आवश्यक है या सिर्फ एक मिथक है?,Some people say you shouldn't exercise or swim when you're menstruating; is that necessary or just a myth ka kya solution hai?,exercise_guidance,self-care,"coping, remedy, self-help"
I've heard that menstrual cycles sync up when people spend time together. Is that a proven fact or just a myth?,मैंने सुना है कि जब लोग एक साथ समय बिताते हैं तो मासिक धर्म चक्र सिंक करते हैं। क्या यह एक सिद्ध तथ्य है या सिर्फ एक मिथक है?,I've heard that menstrual cycles sync up when people spend time together. Is that a proven fact or just a myth ka kya solution hai?,myth_busting,general,general
I've heard period blood is 'dirty' or harmful – is there any truth to that?,मैंने सुना है कि अवधि 'गंदे' या हानिकारक है - क्या इसमें कोई सच्चाई है?,I've heard period blood is 'dirty' or harmful – is there any truth to that ka kya solution hai?,myth_busting,general,general
I've heard using tampons can damage the hymen or mean you're not a virgin anymore. Is this true or just a myth?,मैंने सुना है कि टैम्पोन का उपयोग करने से हाइमन को नुकसान हो सकता है या इसका मतलब है कि आप अब कुंवारी नहीं हैं। क्या यह सच है या सिर्फ एक मिथक है?,I've heard using tampons can damage the hymen or mean you're not a virgin anymore. Is this true or just a myth ka kya solution hai?,myth_busting,general,general
"Does having an irregular period always mean something is wrong, or can it sometimes be normal?","क्या अनियमित अवधि का मतलब हमेशा कुछ गलत होता है, या क्या यह कभी -कभी सामान्य हो सकता है?","Does having an irregular period always mean something is wrong, or can it sometimes be normal ka kya solution hai?",symptom_query,period health,"menstruation, pain, symptom"
"Is it true that if I miss my period, I must be pregnant?","क्या यह सच है कि अगर मुझे अपनी अवधि याद आती है, तो मुझे गर्भवती होना चाहिए?","Is it true that if I miss my period, I must be pregnant ka kya solution hai?",myth_busting,general,general
I've heard that eating certain foods or taking herbal remedies can delay or stop your period. Is there any truth to that?,मैंने सुना है कि कुछ खाद्य पदार्थ खाने या हर्बल उपचार लेने से आपकी अवधि में देरी हो सकती है या रोक सकती है। क्या इसमें कोई सच्चाई है?,I've heard that eating certain foods or taking herbal remedies can delay or stop your period. Is there any truth to that ka kya solution hai?,diet_advice,general,general
